X,Specimen.Number,Alternative.tube.info,DNA.Concentration..ng.uL.,Species,LocalityInformation,Latitude,Longitude,Sex,Date,county,state,country,notes
173,ANMO2967,NA,NA,deppii,ANMO2,16.6145,-98.95861111,NA,NA,Copala,Guerrero,México,
174,ANMO3138,NA,98.14,deppii,ANMO2,20.47475,-97.00872222,NA,NA,Tecolutla,Veracruz,México,
175,ANMO3149,NA,NA,deppii,ANMO2,19.67530556,-96.39808333,NA,NA,Actopan,Veracruz,México,
176,ANMO3353,NA,NA,deppii,ANMO2,17.180667,-99.609194,NA,NA,Juan R. Escudero,Guerrero,México,
177,ANMO3457,NA,96.8,deppii,ANMO2,17.008556,-100.097139,NA,NA,Coyuca de Benítez,Guerrero,México,
178,ANMO3461,NA,NA,guttatus,ANMO2,17.008556,-100.097139,NA,NA,Coyuca de Benítez,Guerrero,México,
179,ANMO721,NA,35.9,deppii,ANMO2,16.96,-96.20733333,NA,NA,San Pablo Villa de Mitla,Oaxaca,México,
180,ANMO870,NA,174,deppii,ANMO2,16.83638333,-99.7484,NA,NA,Acapulco de Juárez,Guerrero,México,
181,ANMO878,NA,NA,deppii,ANMO2,16.45038333,-98.33133333,NA,NA,Santa María Cortijo,Oaxaca,México,
182,ANMO886,NA,NA,guttatus,ANMO2,16.02448333,-97.5837,NA,NA,Tututepec,Oaxaca,México,
183,ANMO887,NA,130,guttatus,ANMO2,16.02448333,-97.5837,NA,NA,Tututepec,Oaxaca,México,
184,ANMO896,NA,NA,guttatus,ANMO2,16.03018333,-95.41976667,NA,NA,Santo Domingo Tehuantepec,Oaxaca,México,
185,ANMO922,NA,59.5,deppii,ANMO2,16.2244,-94.0124,NA,NA,Arriaga,Chiapas,México,
186,ANMO929,NA,NA,deppii,ANMO2,16.48613333,-94.35153333,NA,NA,Santo Domingo Zanatepec,Oaxaca,México,
187,ANMO934,NA,NA,deppii,ANMO2,16.37595,-95.31785,NA,NA,Santo Domingo Tehuantepec,Oaxaca,México,
188,ANMO952,NA,320,guttatus,ANMO2,16.03027778,-95.41977778,NA,NA,Santo Domingo Tehuantepec,Oaxaca,México,
189,EPR1221,NA,NA,deppii,ANMO2,16.37444444,-95.2597222,NA,NA,Santa María Mixtequilla,Oaxaca,México,
190,EPR1222,NA,130,guttatus,ANMO2,NA,NA,NA,NA,NA,NA,NA,
191,EPR1356,NA,95.7,deppii,ANMO2,18.66666667,-95.4833333,NA,NA,Lerdo de Tejada,Veracruz,México,
192,IDF166,NA,NA,deppii,ANMO2,16.06980556,-92.16847222,NA,NA,Comitán de Domínguez,Chiapas,México,
193,IDF172,NA,84.9,guttatus,ANMO2,16.68527778,-96.32041667,NA,NA,NA,Oaxaca,México,
194,IDF194,NA,NA,guttatus,ANMO2,15.63475,-93.12630556,NA,NA,Pijijiapan,Chiapas,México,
195,IDF199,NA,NA,deppii,ANMO2,15.39641667,-93.10355556,NA,NA,Mapastepec,Chiapas,México,
196,IDF58,NA,NA,guttatus,ANMO2,17.35375,-99.48144444,NA,NA,Chilpancingo de los Bravo,Guerrero,México,
197,JAC22134,NA,NA,guttatus,ANMO2,17.03774722,-98.80307778,NA,NA,Santa Cruz del Rincón,Guerrero,México,
198,JAC22198,NA,NA,guttatus,ANMO2,17.16185833,-100.4338778,NA,NA,Atoyac de Álvarez,Guerrero,México,
199,LNG429,NA,NA,deppii,ANMO2,16.25877,-93.2641,NA,NA,Villaflores,Chiapas,México,
200,MSM389,NA,NA,deppii,ANMO2,NA,NA,NA,NA,NA,NA,NA,
201,MVZ204070,NA,NA,deppii,ANMO2,10.55,-85.73333,NA,NA,Carrillo,NA,Costa Rica,
202,UGOV1251,NA,NA,guttatus,ANMO2,17.90872222,-95.03697222,NA,NA,La Cerquilla,Veracruz,México,
203,UGOV228,NA,NA,guttatus,ANMO2,20.45925,-96.98713889,NA,NA,Barra de Tecolutla,Veracruz,México,
204,UGOV2668,NA,NA,guttatus,ANMO2,18.03357,-95.377265,NA,NA,Col. Dominguez,Veracruz,México,
205,UGOV845,NA,NA,guttatus,ANMO2,16.28683333,-97.84188889,NA,NA,Santiago Jamiltepec,Oaxaca,México,
206,UGOV967,NA,NA,guttatus,ANMO2,16.41213889,-93.72297222,NA,NA,Julian Grajales,Chiapas,México,
207,UGOV968,NA,NA,guttatus,ANMO2,NA,NA,NA,NA,NA,NA,NA,
208,UOGV1002,NA,NA,deppii,ANMO2,18.438,-93.22386111,NA,NA,Paraíso,Tabasco,México,
209,UOGV1015,NA,700,deppii,ANMO2,18.69944444,-95.49036111,NA,NA,Lerdo de Tejada,Veracruz,México,
210,UOGV1019,NA,710,deppii,ANMO2,18.81891667,-95.83569444,NA,NA,Alvarado,Veracruz,México,
211,UOGV1020,NA,NA,guttatus,ANMO2,18.81891667,-95.83569444,NA,NA,Alvarado,Veracruz,México,
212,UOGV181,NA,NA,deppii,ANMO2,17.85613889,-94.09197222,NA,NA,Las Choapas,Veracruz,México,
213,UOGV229,NA,NA,deppii,ANMO2,20.45925,-96.98713889,NA,NA,Tecolutla,Veracruz,México,
214,UOGV231,NA,23.6,guttatus,ANMO2,20.25843611,-96.80004722,NA,NA,Tecolutla,Veracruz,México,
215,UOGV780,NA,493,guttatus,ANMO2,17.53780556,-99.45433333,NA,NA,Chilpancingo de los Bravo,Guerrero,México,
216,UOGV786,NA,NA,guttatus,ANMO2,17.31813889,-99.4695,NA,NA,Chilpancingo de los Bravo,Guerrero,México,
217,UOGV789,NA,416,guttatus,ANMO2,16.98172222,-99.82052778,NA,NA,Acapulco de Juárez,Guerrero,México,
218,UOGV846,NA,17.5,guttatus,ANMO2,16.28683333,-97.84188889,NA,NA,Santiago Jamiltepec,Oaxaca,México,
219,UOGV893a,NA,482,deppii,ANMO2,16.19325,-92.6078889,NA,NA,Venustiano Carranza,Chiapas,México,
220,UOGV917,NA,NA,deppii,ANMO2,16.68527778,-96.32041667,NA,NA,NA,Oaxaca,México,
221,UOGV971,NA,NA,guttatus,ANMO2,16.64486111,-93.76375,NA,NA,Cintalapa,Chiapas,México,
222,ANMO1014,NA,NA,motaguae,ANMO3,16.759527777777777,-93.44586111,NA,NA,Ocozocoautla de Espinosa,Chiapas,México,
223,ANMO1845,JCAM28.9,NA,angusticeps,ANMO3,20.138527777777778,-90.18525,NA,NA,Hecelchakán,Campeche,México,
224,ANMO1846,NA,NA,angusticeps,ANMO3,20.138527777777778,-90.18525,NA,NA,Hecelchakán,Campeche,México,
225,ANMO3769,NA,NA,burti,ANMO3,27.069929999999999,-109.26976,NA,NA,Navojoa,Sonora,México,
226,ANMO3770,JCAM28.12,NA,burti,ANMO3,27.069929999999999,-109.26976,NA,NA,Navojoa,Sonora,México,
227,ANMO4093,JCAM28.16,NA,burti,ANMO3,23.348096999999999,-106.247154,M,NA,Mazatlán,Sinaloa,México,
228,ANMO4100,NA,26,burti,ANMO3,25.005669999999999,-107.55267,M,NA,Culiacán,Sinaloa,México,
229,ANMO4101,JCAM28.18,NA,burti,ANMO3,25.251740000000002,-108.04224,M,NA,Angostura,Sinaloa,México,
230,ANMO4102,NA,NA,burti,ANMO3,25.576599999999999,-108.44836,M,NA,Guasave,Sinaloa,México,
231,ANMO4103,NA,49.1,burti,ANMO3,25.576599999999999,-108.44836,M,NA,Guasave,Sinaloa,México,
232,ANMO4104,JCAM28.19,NA,burti,ANMO3,25.576599999999999,-108.44836,M,NA,Guasave,Sinaloa,México,
233,ANMO4105,JCAM28.20,NA,burti,ANMO3,25.576599999999999,-108.44836,M,NA,Guasave,Sinaloa,México,
234,ANMO4109,NA,83.8,burti,ANMO3,26.096129999999999,-108.75175,NA,NA,El Fuerte,Sinaloa,México,
235,ANMO4110,JCAM30.1,NA,burti,ANMO3,26.096129999999999,-108.75175,M,NA,El Fuerte,Sinaloa,México,
236,ANMO4118,JCAM30.2,NA,burti,ANMO3,26.853590000000001,-108.96452,M,NA,Álamos,Sonora,México,
237,ANMO4155,JCAM30.3,NA,burti,ANMO3,28.39348,-108.79783,M,NA,Yécora,Sonora,México,
238,IDF160,NA,NA,G,ANMO3,16.197833333333335,-92.61677778,NA,NA,Venustiano Carranza,Chiapas,México,species?
