"","Category","ID","Colector","# colector","Species","Subspecies","Clade","Clade map","State/Country","Locality","Latitude","Longitude","Elevation","Sex","Age","Extraction notebook","Extraction sample","Box new","Cell new","Plate","Well","Quality","Photo CJPV","Photo UH","Vol","ng/μl","μl p/500 ng","corrected # ANMO","Qual + Qu","Id map","Id mapa","Morphology","Comments"
"191","Disc T Q",NA,"MZFC","14265","guttata","immutabilis",NA,NA,"Oax","Nizanda",NA,NA,NA,NA,NA,NA,NA,"CARD","C7",NA,NA,"Regular. Some degraded dna","4,26",NA,"15","15.7",31.8471337579618,NA,"Bad",NA,NA,"Poco DNA en gel",NA
"192","Disc NT Q",NA,"OFV","771","lineatissima","duodecemlineata","l duo",NA,"Jal","Chamela",19.498056,-105.044444,NA,NA,NA,NA,NA,"3","A6",NA,NA,"Regular. Mostly degraded","7,11","UH3",NA,"107",4.67289719626168,NA,"Bad",NA,NA,NA,NA
"193","Disc NT NQ",NA,"OFV","813","lineatissima","duodecemlineata",NA,NA,"Jal","Chamela",19.498056,-105.044444,NA,NA,NA,NA,NA,"CARD","E2",NA,NA,"Bad. Very little","7,13",NA,NA,NA,NA,NA,"Bad",NA,NA,"Poco DNA en gel",NA
"194","Disc T NQ",NA,"RLR","662","guttata","flavilineata","gf-gi Cintalapa-P. Escondido+",NA,"Chis",NA,NA,NA,NA,NA,NA,NA,NA,"CARD","E6",NA,NA,"Poor. Mostly degraded",NA,"UH2","20","too high",NA,NA,"Bad",NA,NA,NA,NA
"195","Disc NT Q",NA,"ANMO","2815","deppii","schizophora","db F P Delgada-Tecolutla","13-","Ver","Faro Punta Delgada",19.8572222222222,-96.4630555555556,NA,NA,NA,NA,NA,"2","D4",2,"D4","Regular. Little degraded dna, but very little","3,28",NA,"15","24.8",20.1612903225806,NA,"Bad","13-Bad","ANMO2815",NA,NA
"196","T Q",NA,"IDF","58","guttata","immutabilis","gi C Gro-Pinotepa+","16-","Gro","Carr. Libre Chilpancingo-Tierra Colorada, Km 32, 1.5 Km N de Acahuizotla",17.35375,-99.4814444444444,NA,NA,NA,NA,NA,"1","G6",1,"E12","Good. Lots degraded dna","6,3","UH5-6",NA,"74.2",6.73854447439353,NA,"R*","16-R*","IDF58",NA,NA
"197","T Q",NA,"ANMO","1111","lineatissima","livida","l livida","20-","Mich","Aprox 28 km por carr de Aquila hacia Coalcomán",18.6522777777778,-103.435388888889,NA,NA,NA,NA,NA,"1","G9",1,"F3","Regular. Mostly degraded","5,22","UH7",NA,"72.8",6.86813186813187,NA,"R*","20-R*","ANMO1111",NA,NA
"198","NT Q",NA,"ANMO","3139","deppii","schizophora","db F P Delgada-Tecolutla","13-","Ver","Las Higueras",20.0455555555556,-96.6131111111111,NA,NA,NA,NA,NA,"1","H5",1,"F8","Good. Lots degraded dna","6,33","UH5",NA,"70",7.14285714285714,NA,"R*","13-R*","ANMO3139","4 supraoculares y en un lado tiene 3 gránulos en la segunda hilera entre supraoculares y superciliares",NA
"199","Disc T NQ",NA,"UOGV","230","deppii","schizophora","db F P Delgada-Tecolutla",NA,"Ver","Barra de Tecolutla",20.45925,-96.9871388888889,NA,NA,NA,NA,NA,"CARD","F4",NA,NA,"Poor. Mostly degraded",NA,"UH2","50","209",2.39234449760766,NA,"Bad",NA,NA,NA,NA
"200","Unn T NQ dup",NA,"UOGV","231","guttata","guttata",NA,NA,"Ver","Casitas",20.2584361111111,-96.8000472222222,NA,NA,NA,NA,NA,"3","A2",NA,NA,NA,"6,17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Disc T NQ",NA,"UOGV","231","guttata","guttata","guttata",NA,"Ver","Casitas",20.2584361111111,-96.8000472222222,NA,NA,NA,NA,NA,"CARD","F7",NA,NA,"Poor. Mostly degraded","6,12","UH3","40","108",4.62962962962963,NA,"Bad",NA,NA,NA,NA
"202","Disc T NQ",NA,"UOGV","253","guttata","immutabilis","gi C Gro-Pinotepa+",NA,"Gro","Agua de Obispo",17.3232777777778,-99.4722777777778,NA,NA,NA,NA,NA,"CARD","G8",NA,NA,"Poor. Mostly degraded","2,3","UH6",NA,"72",6.94444444444444,NA,"Bad",NA,NA,NA,NA
